"name","prop100k"
"Schwartz",31.4
"Steele",31.27
"Benson",31.22
"Neal",31.08
"Dominguez",31.04
"Horton",30.96
"Terry",30.93
"Wolfe",30.81
"Hale",30.75
"Lyons",30.49
"Graves",30.46
"Haynes",30.41
"Miles",30.37
"Park",30.36
"Warner",30.33
"Padilla",30.32
"Bush",30.22
"Thornton",30.1
"Mccarthy",30.04
"Mann",30.03
"Zimmerman",30.01
"Erickson",30
"Fletcher",30
"Mckinney",29.88
"Page",29.84
"Dawson",29.73
"Joseph",29.67
"Marquez",29.64
"Reeves",29.59
"Klein",29.54
"Espinoza",29.4
"Baldwin",29.34
"Moran",29.12
"Love",29.03
"Robbins",28.97
"Higgins",28.95
"Ball",28.75
"Cortez",28.73
"Le",28.71
"Griffith",28.7
"Bowen",28.57
"Sharp",28.49
"Cummings",28.44
"Ramsey",28.4
"Hardy",28.4
"Swanson",28.37
"Barber",28.36
"Acosta",28.35
"Luna",28.22
"Chandler",28.22
"Blair",27.85
"Daniel",27.85
"Cross",27.85
"Simon",27.74
"Dennis",27.72
"Oconnor",27.71
"Quinn",27.63
"Gross",27.54
"Navarro",27.42
"Moss",27.34
"Fitzgerald",27.25
"Doyle",27.25
"Mclaughlin",27.11
"Rojas",27.09
"Rodgers",27.07
"Stevenson",27.02
"Singh",26.93
"Yang",26.92
"Figueroa",26.89
"Harmon",26.84
"Newton",26.81
"Paul",26.78
"Manning",26.72
"Garner",26.71
"Mcgee",26.66
"Reese",26.6
"Francis",26.59
"Burgess",26.54
"Adkins",26.52
"Goodman",26.5
"Curry",26.45
"Brady",26.38
"Christensen",26.37
"Potter",26.36
"Walton",26.32
"Goodwin",26.07
"Mullins",26.05
"Molina",26.03
"Webster",25.99
"Fischer",25.98
"Campos",25.93
"Avila",25.89
"Sherman",25.89
"Todd",25.88
"Chang",25.86
"Blake",25.68
"Malone",25.67
"Wolf",25.54
"Hodges",25.53
"Juarez",25.5
"Gill",25.47
"Farmer",25.32
"Hines",25.26
"Gallagher",25.24
"Duran",25.22
"Hubbard",25.22
"Cannon",25.18
"Miranda",25.08
"Wang",25.05
"Saunders",24.91
"Tate",24.91
"Mack",24.89
"Hammond",24.86
"Carrillo",24.86
"Townsend",24.78
"Wise",24.74
"Ingram",24.71
"Barton",24.7
"Mejia",24.66
"Ayala",24.66
"Schroeder",24.62
"Hampton",24.61
"Rowe",24.54
"Parsons",24.54
"Frank",24.44
"Waters",24.4
"Strickland",24.4
"Osborne",24.39
"Maxwell",24.38
"Chan",24.36
"Deleon",24.32
"Norman",24.2
"Harrington",24.14
"Casey",24.03
"Patton",24.01
"Logan",23.94
"Bowers",23.91
"Mueller",23.84
"Glover",23.79
"Floyd",23.78
"Hartman",23.66
"Buchanan",23.66
"Cobb",23.63
"French",23.41
"Kramer",23.36
"Mccormick",23.23
"Clarke",23.19
"Tyler",23.18
"Gibbs",23.17
"Moody",23.11
"Conner",23.11
"Sparks",23.07
"Mcguire",23.03
"Leon",23
"Bauer",22.98
"Norton",22.91
"Pope",22.89
"Flynn",22.89
"Hogan",22.85
"Robles",22.84
"Salinas",22.83
"Yates",22.76
"Lindsey",22.69
"Lloyd",22.67
"Marsh",22.61
"Mcbride",22.57
"Owen",22.41
"Solis",22.26
"Pham",22.22
"Lang",22.18
"Pratt",22.17
"Lara",22.14
"Brock",22.12
"Ballard",22.12
"Trujillo",22.1
"Shaffer",21.96
"Drake",21.89
"Roman",21.88
"Aguirre",21.84
"Morton",21.79
"Stokes",21.76
"Lamb",21.71
"Pacheco",21.7
"Patrick",21.6
"Cochran",21.59
"Shepherd",21.48
"Cain",21.45
"Burnett",21.45
"Hess",21.43
"Li",21.42
"Cervantes",21.38
"Olsen",21.26
"Briggs",21.24
"Ochoa",21.21
"Cabrera",21.19
"Velasquez",21.19
"Montoya",21.16
"Roth",21.14
"Meyers",21.03
"Cardenas",20.99
"Fuentes",20.92
"Weiss",20.82
"Hoover",20.78
"Wilkins",20.78
"Nicholson",20.75
"Underwood",20.75
"Short",20.72
"Carson",20.69
"Morrow",20.63
"Colon",20.58
"Holloway",20.56
"Summers",20.53
"Bryan",20.49
"Petersen",20.46
"Mckenzie",20.42
"Serrano",20.41
"Wilcox",20.38
"Carey",20.36
"Clayton",20.34
"Poole",20.28
"Calderon",20.27
"Gallegos",20.27
"Greer",20.24
"Rivas",20.24
"Guerra",20.23
"Decker",20.18
"Collier",20.17
"Wall",20.17
"Whitaker",20.14
"Bass",20.13
"Flowers",20.12
"Davenport",20.09
"Conley",20.09
"Houston",20.03
"Huff",19.98
"Copeland",19.93
"Hood",19.92
"Monroe",19.82
"Massey",19.82
"Roberson",19.72
"Combs",19.71
"Franco",19.71
"Larsen",19.63
"Pittman",19.53
"Randall",19.46
"Skinner",19.46
"Wilkinson",19.46
"Kirby",19.45
"Cameron",19.44
"Bridges",19.37
"Anthony",19.33
"Richard",19.33
"Kirk",19.3
"Bruce",19.28
"Singleton",19.2
"Mathis",19.2
"Bradford",19.17
"Boone",19.16
"Abbott",19.14
"Charles",19.1
"Allison",19.09
"Sweeney",19.09
"Atkinson",19.09
"Horn",19.05
"Jefferson",19.04
"Rosales",19.03
"York",19.03
